DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-02 23:10:00,1.10823,1.10823,1.10823,1.10823,1.0
2020-02-02 23:16:00,1.10824,1.10834,1.10824,1.10834,0.0
2020-02-02 23:21:00,1.10834,1.10834,1.10831,1.10832,1.0
2020-02-02 23:26:00,1.10833,1.10833,1.10831,1.10833,0.0
2020-02-02 23:31:00,1.10833,1.10833,1.10821,1.10832,1.0
2020-02-02 23:36:00,1.10833,1.10849,1.10833,1.10843,0.0
2020-02-02 23:41:00,1.10843,1.10843,1.10835,1.10837,0.0
2020-02-02 23:46:00,1.10838,1.10838,1.10826,1.10827,0.0
2020-02-02 23:51:00,1.10826,1.10831,1.10826,1.10826,0.0
2020-02-02 23:56:00,1.10825,1.10826,1.10817,1.10814,1.0
2020-02-03 00:01:00,1.10815,1.10818,1.10815,1.10816,1.0
2020-02-03 00:06:00,1.10815,1.10827,1.10815,1.10826,1.0
2020-02-03 00:11:00,1.10826,1.10832,1.10826,1.10831,1.0
2020-02-03 00:16:00,1.10831,1.10833,1.10831,1.10833,1.0
2020-02-03 00:21:00,1.10833,1.10843,1.10831,1.10839,0.0
2020-02-03 00:26:00,1.10838,1.10838,1.10827,1.10831,1.0
2020-02-03 00:31:00,1.10832,1.10844,1.10832,1.10842,0.0
2020-02-03 00:36:00,1.10841,1.10843,1.10841,1.10837,1.0
2020-02-03 00:41:00,1.10838,1.10843,1.10838,1.10838,1.0
2020-02-03 00:46:00,1.10837,1.10843,1.10837,1.10844,1.0
2020-02-03 00:51:00,1.10844,1.10848,1.10844,1.10845,0.0
2020-02-03 00:56:00,1.10845,1.10845,1.1084,1.10844,1.0
2020-02-03 01:01:00,1.10843,1.10853,1.10843,1.10852,1.0
2020-02-03 01:06:00,1.10852,1.10862,1.10852,1.10858,0.0
2020-02-03 01:11:00,1.10858,1.10859,1.10856,1.10857,0.0
2020-02-03 01:16:00,1.10857,1.10857,1.10837,1.10839,0.0
2020-02-03 01:21:00,1.10839,1.10839,1.10829,1.10827,1.0
2020-02-03 01:26:00,1.10827,1.10831,1.10822,1.10828,0.0
2020-02-03 01:31:00,1.10826,1.10828,1.10816,1.1082,0.0
2020-02-03 01:36:00,1.1082,1.10822,1.10816,1.10817,1.0
2020-02-03 01:41:00,1.10817,1.10839,1.10817,1.10834,0.0
2020-02-03 01:46:00,1.10835,1.10835,1.10824,1.10833,1.0
2020-02-03 01:51:00,1.10833,1.10839,1.10828,1.10834,0.0
2020-02-03 01:56:00,1.10834,1.10835,1.10822,1.10831,0.0
2020-02-03 02:01:00,1.10832,1.10845,1.10818,1.10821,1.0
2020-02-03 02:06:00,1.10822,1.10833,1.10822,1.10822,0.0
2020-02-03 02:11:00,1.10821,1.10821,1.10774,1.10783,0.0
2020-02-03 02:16:00,1.10782,1.1079,1.10767,1.1078,0.0
2020-02-03 02:21:00,1.1078,1.10793,1.10762,1.10772,0.0
2020-02-03 02:26:00,1.10771,1.10771,1.10744,1.10745,0.0
2020-02-03 02:31:00,1.10745,1.10745,1.10724,1.10728,0.0
2020-02-03 02:36:00,1.10729,1.10731,1.10718,1.10727,0.5
2020-02-03 02:41:00,1.10726,1.10745,1.10704,1.10727,1.0
2020-02-03 02:46:00,1.10729,1.10752,1.10729,1.10737,1.0
2020-02-03 02:51:00,1.10737,1.10749,1.10737,1.10743,0.0
2020-02-03 02:56:00,1.10743,1.10755,1.1074,1.10736,1.0
2020-02-03 03:01:00,1.10736,1.10769,1.10736,1.10754,1.0
2020-02-03 03:06:00,1.10753,1.10767,1.10741,1.10756,1.0
2020-02-03 03:11:00,1.10756,1.10783,1.10746,1.10779,0.0
2020-02-03 03:16:00,1.10778,1.10778,1.10764,1.10754,1.0
2020-02-03 03:21:00,1.10755,1.10778,1.10746,1.10768,0.0
2020-02-03 03:26:00,1.10768,1.10773,1.10734,1.10748,0.0
2020-02-03 03:31:00,1.10748,1.10748,1.10735,1.1073,0.0
2020-02-03 03:36:00,1.10729,1.10736,1.10702,1.10712,0.0
2020-02-03 03:41:00,1.10711,1.10711,1.10699,1.10701,0.0
2020-02-03 03:46:00,1.10702,1.1072,1.10682,1.10673,0.0
2020-02-03 03:51:00,1.10673,1.10673,1.10651,1.10654,0.0
2020-02-03 03:56:00,1.10655,1.10669,1.10647,1.10646,1.0
2020-02-03 04:01:00,1.10646,1.10664,1.10646,1.10659,0.0
2020-02-03 04:06:00,1.1066,1.10667,1.10649,1.10633,0.0
2020-02-03 04:11:00,1.10632,1.10636,1.10604,1.10625,0.0
2020-02-03 04:16:00,1.10626,1.10643,1.1059,1.10596,1.0
2020-02-03 04:21:00,1.10596,1.10607,1.10596,1.10601,1.0
2020-02-03 04:26:00,1.106,1.10622,1.106,1.10626,1.0
2020-02-03 04:31:00,1.10626,1.10643,1.10626,1.10647,1.0
2020-02-03 04:36:00,1.10647,1.1067,1.10647,1.10674,1.0
2020-02-03 04:41:00,1.10675,1.10694,1.10675,1.10694,0.0
2020-02-03 04:46:00,1.10694,1.10697,1.10659,1.10686,1.0
